id,nationality,visa_type,consulate,submission_date,decision_date,processing_days,documents_submitted,document_count,sponsor_type,prior_travel,status
case_002035,Philippines,B1/B2,Toronto,2024-10-31,2024-11-21,21,"['Passport', 'Invitation Letter', 'DS-160', 'Bank Statement', 'Fee Receipt', 'Photo']",6,family,True,approved
case_004497,Japan,O-1,Guadalajara,2024-10-31,2024-11-26,26,"['I-797', 'Resume', 'Property Docs', 'Passport', 'DS-160', 'Fee Receipt', 'Photo', 'Tax Returns']",8,university,True,approved
case_001655,Brazil,L-1,Guadalajara,2024-10-31,2025-01-02,63,"['Travel Itinerary', 'Employment Letter', 'I-797', 'Passport', 'Bank Statement', 'DS-160', 'Fee Receipt', 'Photo']",8,employer,False,approved
case_002482,Philippines,F-1,London,2024-11-01,2024-12-03,32,"['Financial Docs', 'I-20', 'Transcripts', 'Passport', 'DS-160', 'Fee Receipt', 'Photo', 'Tax Returns']",8,self,False,approved
case_000812,United Kingdom,F-1,Guangzhou,2024-11-01,2024-12-10,39,"['Travel Itinerary', 'Financial Docs', 'I-20', 'Transcripts', 'Property Docs', 'Passport', 'DS-160', 'Fee Receipt', 'Photo']",9,government,False,approved
case_003131,Mexico,F-1,Hyderabad,2024-11-01,2024-12-17,46,"['Travel Itinerary', 'Financial Docs', 'I-20', 'Passport', 'DS-160', 'Fee Receipt', 'Photo']",7,employer,False,rfe
case_003074,Philippines,L-1,Shenyang,2024-11-01,2025-01-05,65,"['Employment Letter', 'I-797', 'Passport', 'Bank Statement', 'DS-160', 'Fee Receipt', 'Photo', 'Tax Returns']",8,employer,False,approved
case_001747,Germany,L-1,Hyderabad,2024-11-01,2024-12-22,51,"['Employment Letter', 'I-797', 'Passport', 'Bank Statement', 'DS-160', 'Fee Receipt', 'Photo']",7,university,False,approved
case_002013,Bangladesh,H-1B,Mumbai,2024-11-01,2025-02-19,110,"['Employment Letter', 'I-797', 'Resume', 'Property Docs', 'Passport', 'DS-160', 'Fee Receipt', 'Photo']",8,self,False,approved
case_000733,Philippines,B1/B2,Guangzhou,2024-11-01,2024-12-22,51,"['Passport', 'Bank Statement', 'DS-160', 'Fee Receipt', 'Photo', 'Tax Returns']",6,self,False,rfe
case_002469,United Kingdom,H-1B,Shanghai,2024-11-01,2025-02-11,102,"['Employment Letter', 'I-797', 'Passport', 'DS-160', 'Fee Receipt', 'Photo']",6,employer,False,denied
case_000833,Nigeria,L-1,Seoul,2024-11-01,2024-12-21,50,"['Employment Letter', 'I-797', 'Passport', 'Bank Statement', 'DS-160', 'Fee Receipt', 'Photo']",7,university,False,denied
case_003903,India,L-1,Frankfurt,2024-11-01,2025-01-28,88,"['Travel Itinerary', 'Employment Letter', 'I-797', 'Passport', 'DS-160', 'Fee Receipt', 'Photo', 'Tax Returns']",8,university,False,approved
case_000962,Bangladesh,B1/B2,Manila,2024-11-01,2024-11-28,27,"['Property Docs', 'Passport', 'DS-160', 'Fee Receipt', 'Photo']",5,government,False,approved
case_000881,India,B1/B2,Beijing,2024-11-01,2024-11-30,29,"['Passport', 'Invitation Letter', 'DS-160', 'Fee Receipt', 'Photo']",5,employer,True,approved
case_004549,Brazil,H-1B,Tokyo,2024-11-01,2025-02-20,111,"['Employment Letter', 'I-797', 'Resume', 'Passport', 'DS-160', 'Fee Receipt', 'Photo']",7,self,True,approved
case_001813,Vietnam,H-1B,Toronto,2024-11-01,2025-01-25,85,"['Employment Letter', 'I-797', 'Resume', 'Passport', 'DS-160', 'Fee Receipt', 'Photo', 'Tax Returns']",8,university,True,approved
case_000598,Vietnam,H-1B,Kolkata,2024-11-01,2025-02-26,117,"['Employment Letter', 'I-797', 'Resume', 'Passport', 'DS-160', 'Fee Receipt', 'Photo']",7,family,False,approved
case_002496,Vietnam,F-1,Toronto,2024-11-01,2024-11-27,26,"['Financial Docs', 'I-20', 'Transcripts', 'Passport', 'DS-160', 'Fee Receipt', 'Photo', 'Tax Returns']",8,government,False,approved
case_004322,South Korea,B1/B2,Shenyang,2024-11-01,2024-11-16,15,"['Passport', 'Invitation Letter', 'DS-160', 'Fee Receipt', 'Photo']",5,self,False,approved
case_003769,Japan,F-1,London,2024-11-01,2024-12-09,38,"['Financial Docs', 'I-20', 'Transcripts', 'Passport', 'DS-160', 'Fee Receipt', 'Photo']",7,government,False,approved
case_004507,Canada,H-1B,Tokyo,2024-11-01,2025-03-04,123,"['Employment Letter', 'I-797', 'Resume', 'Passport', 'Bank Statement', 'DS-160', 'Fee Receipt', 'Photo']",8,government,False,approved
case_003440,India,H-1B,Guadalajara,2024-11-01,2025-03-09,128,"['Travel Itinerary', 'Employment Letter', 'I-797', 'Resume', 'Passport', 'DS-160', 'Fee Receipt', 'Photo', 'Tax Returns']",9,government,False,approved
case_000445,Brazil,H-1B,Shanghai,2024-11-01,2025-03-12,131,"['Employment Letter', 'I-797', 'Resume', 'Property Docs', 'Passport', 'DS-160', 'Fee Receipt', 'Photo']",8,government,False,approved
case_003804,Vietnam,B1/B2,New Delhi,2024-11-02,2024-12-03,31,"['Property Docs', 'Passport', 'Invitation Letter', 'DS-160', 'Bank Statement', 'Fee Receipt', 'Photo', 'Tax Returns']",8,government,True,approved
case_003061,Brazil,F-1,Ciudad Juarez,2024-11-02,2024-11-26,24,"['Financial Docs', 'I-20', 'Transcripts', 'Passport', 'Bank Statement', 'DS-160', 'Fee Receipt', 'Photo']",8,government,False,approved
case_000967,Brazil,B1/B2,London,2024-11-02,2024-11-25,23,"['Passport', 'Invitation Letter', 'DS-160', 'Bank Statement', 'Fee Receipt', 'Photo']",6,self,True,approved
case_002020,Bangladesh,H-1B,Chennai,2024-11-02,2025-01-23,82,"['Employment Letter', 'I-797', 'Resume', 'Passport', 'DS-160', 'Fee Receipt', 'Photo']",7,government,True,denied
case_002792,Bangladesh,B1/B2,Ciudad Juarez,2024-11-02,2024-11-16,14,"['Property Docs', 'Passport', 'Invitation Letter', 'DS-160', 'Bank Statement', 'Fee Receipt', 'Photo']",7,government,False,approved
case_002908,Vietnam,F-1,Shenyang,2024-11-02,2024-12-02,30,"['Financial Docs', 'I-20', 'Transcripts', 'Passport', 'DS-160', 'Fee Receipt', 'Photo']",7,university,False,approved
case_002582,Nigeria,F-1,Guadalajara,2024-11-02,2024-11-29,27,"['Travel Itinerary', 'Financial Docs', 'I-20', 'Transcripts', 'Passport', 'DS-160', 'Fee Receipt', 'Photo']",8,university,True,approved
case_001942,China,H-1B,Manila,2024-11-02,2025-02-07,97,"['Travel Itinerary', 'Employment Letter', 'I-797', 'Resume', 'Property Docs', 'Passport', 'DS-160', 'Fee Receipt', 'Photo', 'Tax Returns']",10,employer,False,approved
case_003719,Vietnam,B1/B2,Shanghai,2024-11-02,2024-11-27,25,"['Travel Itinerary', 'Passport', 'Invitation Letter', 'DS-160', 'Fee Receipt', 'Photo']",6,self,False,approved
case_004098,Japan,H-1B,Chennai,2024-11-02,2025-01-15,74,"['Employment Letter', 'I-797', 'Resume', 'Passport', 'DS-160', 'Fee Receipt', 'Photo']",7,government,False,approved
case_003626,Germany,H-1B,Chennai,2024-11-02,2024-12-23,51,"['Employment Letter', 'I-797', 'Resume', 'Property Docs', 'Passport', 'DS-160', 'Fee Receipt', 'Photo']",8,university,False,approved
case_003717,Japan,O-1,Shenyang,2024-11-03,2024-12-03,30,"['I-797', 'Resume', 'Passport', 'Bank Statement', 'DS-160', 'Fee Receipt', 'Photo']",7,employer,True,approved
case_002196,South Korea,H-1B,Ciudad Juarez,2024-11-03,2025-01-19,77,"['Travel Itinerary', 'Employment Letter', 'I-797', 'Resume', 'Passport', 'Bank Statement', 'DS-160', 'Fee Receipt', 'Photo']",9,family,False,approved
case_000908,Pakistan,H-1B,New Delhi,2024-11-03,2025-02-27,116,"['Employment Letter', 'I-797', 'Resume', 'Passport', 'DS-160', 'Fee Receipt', 'Photo']",7,self,False,approved
case_004965,United Kingdom,F-1,Mumbai,2024-11-03,2024-12-02,29,"['Financial Docs', 'I-20', 'Transcripts', 'Property Docs', 'Passport', 'DS-160', 'Fee Receipt', 'Photo']",8,university,True,approved
case_002164,Taiwan,F-1,Manila,2024-11-03,2024-12-12,39,"['Travel Itinerary', 'Financial Docs', 'I-20', 'Transcripts', 'Passport', 'DS-160', 'Fee Receipt', 'Photo']",8,government,False,approved
case_001944,Brazil,F-1,Beijing,2024-11-03,2024-12-23,50,"['Travel Itinerary', 'Financial Docs', 'I-20', 'Transcripts', 'Passport', 'DS-160', 'Fee Receipt', 'Photo', 'Tax Returns']",9,family,False,approved
case_001024,Brazil,B1/B2,Chennai,2024-11-03,2024-11-22,19,"['Travel Itinerary', 'Passport', 'Invitation Letter', 'DS-160', 'Fee Receipt', 'Photo']",6,employer,True,approved
case_003124,United Kingdom,F-1,New Delhi,2024-11-03,2024-12-11,38,"['Financial Docs', 'I-20', 'Transcripts', 'Passport', 'Bank Statement', 'DS-160', 'Fee Receipt', 'Photo']",8,family,True,approved
case_003345,Taiwan,B1/B2,Guangzhou,2024-11-03,2024-12-11,38,"['Travel Itinerary', 'Passport', 'Invitation Letter', 'DS-160', 'Fee Receipt', 'Photo']",6,employer,False,approved
case_001971,Philippines,F-1,Guangzhou,2024-11-03,2024-12-28,55,"['Financial Docs', 'I-20', 'Transcripts', 'Property Docs', 'Passport', 'Bank Statement', 'DS-160', 'Fee Receipt', 'Photo', 'Tax Returns']",10,university,False,approved
case_004863,Nigeria,F-1,London,2024-11-03,2024-12-11,38,"['Travel Itinerary', 'Financial Docs', 'I-20', 'Transcripts', 'Property Docs', 'Passport', 'DS-160', 'Fee Receipt', 'Photo', 'Tax Returns']",10,employer,False,approved
case_004742,Mexico,H-1B,Shenyang,2024-11-03,2024-12-30,57,"['Employment Letter', 'I-797', 'Resume', 'Passport', 'DS-160', 'Fee Receipt', 'Photo', 'Tax Returns']",8,family,False,approved
case_003910,Vietnam,L-1,Hyderabad,2024-11-03,2025-01-28,86,"['Employment Letter', 'I-797', 'Passport', 'Bank Statement', 'DS-160', 'Fee Receipt', 'Photo', 'Tax Returns']",8,family,False,approved
case_003765,India,F-1,Guadalajara,2024-11-03,2024-11-26,23,"['Financial Docs', 'I-20', 'Transcripts', 'Property Docs', 'Passport', 'DS-160', 'Fee Receipt', 'Photo']",8,self,False,approved
case_001087,Philippines,B1/B2,Shanghai,2024-11-04,2024-11-21,17,"['Passport', 'Invitation Letter', 'DS-160', 'Bank Statement', 'Fee Receipt', 'Photo']",6,employer,False,approved
case_003747,South Korea,O-1,Mumbai,2024-11-04,2024-12-19,45,"['I-797', 'Resume', 'Passport', 'DS-160', 'Fee Receipt', 'Photo']",6,employer,True,approved
case_002484,United Kingdom,F-1,Mexico City,2024-11-04,2024-12-14,40,"['Financial Docs', 'I-20', 'Passport', 'Bank Statement', 'DS-160', 'Fee Receipt', 'Photo', 'Tax Returns']",8,employer,False,approved
case_003949,Philippines,H-1B,Frankfurt,2024-11-04,2025-03-07,123,"['Employment Letter', 'I-797', 'Resume', 'Passport', 'DS-160', 'Fee Receipt', 'Photo', 'Tax Returns']",8,self,False,approved
case_002617,Nigeria,B1/B2,Guangzhou,2024-11-04,2024-12-03,29,"['Passport', 'Invitation Letter', 'DS-160', 'Bank Statement', 'Fee Receipt', 'Photo', 'Tax Returns']",7,family,True,approved
case_003054,Philippines,H-1B,Manila,2024-11-04,2025-06-10,218,"['Travel Itinerary', 'Employment Letter', 'I-797', 'Resume', 'Property Docs', 'Passport', 'Bank Statement', 'DS-160', 'Fee Receipt', 'Photo']",10,government,False,rfe
case_000419,Canada,F-1,Shanghai,2024-11-04,2024-12-16,42,"['Financial Docs', 'I-20', 'Transcripts', 'Passport', 'DS-160', 'Fee Receipt', 'Photo', 'Tax Returns']",8,family,True,approved
case_003690,Bangladesh,F-1,Guadalajara,2024-11-04,2024-12-06,32,"['Financial Docs', 'I-20', 'Transcripts', 'Passport', 'Bank Statement', 'DS-160', 'Fee Receipt', 'Photo', 'Tax Returns']",9,university,False,approved
case_000531,China,L-1,Manila,2024-11-04,2025-01-05,62,"['Employment Letter', 'I-797', 'Passport', 'Bank Statement', 'DS-160', 'Fee Receipt', 'Photo']",7,family,True,approved
case_001710,United Kingdom,B1/B2,Shenyang,2024-11-04,2024-11-16,12,"['Passport', 'Invitation Letter', 'DS-160', 'Fee Receipt', 'Photo', 'Tax Returns']",6,university,False,approved
case_004294,Nigeria,H-1B,Guangzhou,2024-11-04,2025-01-14,71,"['Employment Letter', 'I-797', 'Resume', 'Property Docs', 'Passport', 'Bank Statement', 'DS-160', 'Fee Receipt', 'Photo']",9,self,False,denied
case_003955,Canada,J-1,New Delhi,2024-11-04,2024-11-23,19,"['Travel Itinerary', 'I-20', 'Passport', 'Bank Statement', 'DS-160', 'Fee Receipt', 'Photo', 'Tax Returns']",8,employer,False,approved
case_001534,India,F-1,Kolkata,2024-11-04,2024-12-19,45,"['Travel Itinerary', 'Financial Docs', 'I-20', 'Transcripts', 'Passport', 'DS-160', 'Fee Receipt', 'Photo']",8,self,True,approved
case_003003,China,B1/B2,Chennai,2024-11-05,2024-11-30,25,"['Fee Receipt', 'Passport', 'DS-160', 'Photo']",4,family,False,approved
case_004401,Canada,F-1,Mexico City,2024-11-05,2024-12-07,32,"['Travel Itinerary', 'Financial Docs', 'I-20', 'Transcripts', 'Passport', 'DS-160', 'Fee Receipt', 'Photo', 'Tax Returns']",9,family,False,approved
case_001635,Japan,H-1B,Ciudad Juarez,2024-11-05,2025-01-29,85,"['Employment Letter', 'I-797', 'Passport', 'Bank Statement', 'DS-160', 'Fee Receipt', 'Photo', 'Tax Returns']",8,family,False,approved
case_003473,Canada,F-1,Seoul,2024-11-05,2024-12-06,31,"['Travel Itinerary', 'Financial Docs', 'I-20', 'Transcripts', 'Passport', 'DS-160', 'Fee Receipt', 'Photo', 'Tax Returns']",9,employer,False,approved
case_002207,Taiwan,H-1B,Shenyang,2024-11-05,2025-01-16,72,"['Employment Letter', 'I-797', 'Resume', 'Passport', 'Bank Statement', 'DS-160', 'Fee Receipt', 'Photo']",8,government,True,approved
case_004377,China,H-1B,London,2024-11-05,2025-02-08,95,"['Travel Itinerary', 'Employment Letter', 'I-797', 'Resume', 'Passport', 'Bank Statement', 'DS-160', 'Fee Receipt', 'Photo']",9,employer,False,approved
case_000272,Pakistan,F-1,Tokyo,2024-11-05,2024-12-27,52,"['Financial Docs', 'I-20', 'Passport', 'DS-160', 'Fee Receipt', 'Photo', 'Tax Returns']",7,government,True,rfe
case_000162,Canada,H-1B,New Delhi,2024-11-05,2025-02-07,94,"['Travel Itinerary', 'Employment Letter', 'I-797', 'Resume', 'Passport', 'Bank Statement', 'DS-160', 'Fee Receipt', 'Photo']",9,self,False,approved
case_001454,Germany,O-1,Shenyang,2024-11-05,2025-01-11,67,"['Travel Itinerary', 'I-797', 'Resume', 'Passport', 'Bank Statement', 'DS-160', 'Fee Receipt', 'Photo']",8,family,False,rfe
case_000205,Germany,F-1,London,2024-11-05,2024-12-01,26,"['Travel Itinerary', 'Financial Docs', 'I-20', 'Transcripts', 'Passport', 'DS-160', 'Fee Receipt', 'Photo']",8,family,True,approved
case_001425,South Korea,F-1,Manila,2024-11-05,2024-12-19,44,"['Financial Docs', 'I-20', 'Passport', 'DS-160', 'Fee Receipt', 'Photo']",6,family,True,approved
case_000152,Brazil,H-1B,Shenyang,2024-11-05,2025-03-29,144,"['Travel Itinerary', 'Employment Letter', 'I-797', 'Resume', 'Passport', 'Bank Statement', 'DS-160', 'Fee Receipt', 'Photo']",9,government,False,rfe
case_002744,Pakistan,F-1,Shanghai,2024-11-05,2024-12-06,31,"['Financial Docs', 'I-20', 'Transcripts', 'Passport', 'Bank Statement', 'DS-160', 'Fee Receipt', 'Photo']",8,employer,False,approved
case_001193,Vietnam,O-1,Mexico City,2024-11-05,2024-12-15,40,"['I-797', 'Resume', 'Property Docs', 'Passport', 'DS-160', 'Fee Receipt', 'Photo']",7,family,False,approved
case_004957,Taiwan,B1/B2,Shenyang,2024-11-06,2024-11-17,11,"['Travel Itinerary', 'Property Docs', 'Passport', 'Invitation Letter', 'DS-160', 'Bank Statement', 'Fee Receipt', 'Photo']",8,employer,True,approved
case_002254,Vietnam,H-1B,Hyderabad,2024-11-06,2025-01-11,66,"['Travel Itinerary', 'Employment Letter', 'I-797', 'Property Docs', 'Passport', 'DS-160', 'Fee Receipt', 'Photo', 'Tax Returns']",9,family,True,approved
case_002746,Brazil,O-1,New Delhi,2024-11-06,2025-01-01,56,"['I-797', 'Resume', 'Property Docs', 'Passport', 'DS-160', 'Fee Receipt', 'Photo', 'Tax Returns']",8,self,True,approved
case_002461,Japan,F-1,Ciudad Juarez,2024-11-06,2024-12-02,26,"['Financial Docs', 'I-20', 'Transcripts', 'Passport', 'DS-160', 'Fee Receipt', 'Photo', 'Tax Returns']",8,university,True,approved
case_003241,Taiwan,F-1,Frankfurt,2024-11-06,2024-12-17,41,"['Financial Docs', 'I-20', 'Transcripts', 'Passport', 'Bank Statement', 'DS-160', 'Fee Receipt', 'Photo']",8,employer,True,approved
case_002690,South Korea,F-1,Toronto,2024-11-06,2024-11-28,22,"['Financial Docs', 'I-20', 'Transcripts', 'Passport', 'DS-160', 'Fee Receipt', 'Photo']",7,self,True,approved
case_004277,Mexico,H-1B,Seoul,2024-11-06,2025-01-02,57,"['Travel Itinerary', 'Employment Letter', 'I-797', 'Passport', 'Bank Statement', 'DS-160', 'Fee Receipt', 'Photo']",8,university,False,approved
case_003310,Brazil,O-1,Ciudad Juarez,2024-11-06,2024-12-29,53,"['I-797', 'Resume', 'Passport', 'Bank Statement', 'DS-160', 'Fee Receipt', 'Photo']",7,university,True,approved
case_001123,India,B1/B2,Shenyang,2024-11-06,2024-11-28,22,"['Travel Itinerary', 'Passport', 'Invitation Letter', 'DS-160', 'Fee Receipt', 'Photo']",6,university,True,approved
case_000930,Brazil,H-1B,Tokyo,2024-11-06,2025-02-27,113,"['Travel Itinerary', 'Employment Letter', 'I-797', 'Resume', 'Property Docs', 'Passport', 'DS-160', 'Fee Receipt', 'Photo']",9,family,False,approved
case_001441,Mexico,B1/B2,Shanghai,2024-11-07,2024-12-09,32,"['Passport', 'DS-160', 'Fee Receipt', 'Photo', 'Tax Returns']",5,employer,True,approved
case_002833,Mexico,H-1B,Seoul,2024-11-07,2025-03-11,124,"['Employment Letter', 'I-797', 'Property Docs', 'Passport', 'DS-160', 'Fee Receipt', 'Photo', 'Tax Returns']",8,government,False,approved
case_001989,Germany,L-1,Ciudad Juarez,2024-11-07,2025-01-21,75,"['Travel Itinerary', 'Employment Letter', 'I-797', 'Passport', 'DS-160', 'Fee Receipt', 'Photo']",7,employer,True,rfe
case_002807,Japan,O-1,Shenyang,2024-11-07,2024-12-31,54,"['Travel Itinerary', 'I-797', 'Resume', 'Passport', 'DS-160', 'Fee Receipt', 'Photo']",7,employer,False,approved
case_000730,Vietnam,H-1B,Frankfurt,2024-11-07,2025-04-08,152,"['Travel Itinerary', 'Employment Letter', 'I-797', 'Resume', 'Passport', 'DS-160', 'Fee Receipt', 'Photo', 'Tax Returns']",9,employer,False,rfe
case_004418,Bangladesh,H-1B,Ciudad Juarez,2024-11-07,2024-12-30,53,"['Employment Letter', 'I-797', 'Resume', 'Passport', 'Bank Statement', 'DS-160', 'Fee Receipt', 'Photo', 'Tax Returns']",9,employer,False,approved
case_001088,Japan,H-1B,Mumbai,2024-11-07,2025-03-23,136,"['Travel Itinerary', 'Employment Letter', 'I-797', 'Passport', 'Bank Statement', 'DS-160', 'Fee Receipt', 'Photo', 'Tax Returns']",9,family,True,rfe
case_001737,United Kingdom,F-1,Guadalajara,2024-11-07,2024-12-13,36,"['Financial Docs', 'I-20', 'Transcripts', 'Property Docs', 'Passport', 'Bank Statement', 'DS-160', 'Fee Receipt', 'Photo']",9,government,False,approved
case_002006,Philippines,F-1,Guangzhou,2024-11-07,2024-12-29,52,"['Financial Docs', 'I-20', 'Transcripts', 'Passport', 'Bank Statement', 'DS-160', 'Fee Receipt', 'Photo']",8,government,False,approved
case_003624,Vietnam,H-1B,Seoul,2024-11-07,2025-02-14,99,"['Employment Letter', 'I-797', 'Resume', 'Passport', 'DS-160', 'Fee Receipt', 'Photo']",7,government,True,approved
case_002624,Mexico,H-1B,Toronto,2024-11-07,2025-03-06,119,"['Employment Letter', 'I-797', 'Resume', 'Passport', 'DS-160', 'Fee Receipt', 'Photo']",7,employer,False,approved
case_004796,China,H-1B,Mexico City,2024-11-07,2025-01-24,78,"['Employment Letter', 'I-797', 'Resume', 'Passport', 'DS-160', 'Fee Receipt', 'Photo', 'Tax Returns']",8,family,True,approved
case_003000,Taiwan,L-1,Mexico City,2024-11-07,2025-02-02,87,"['Employment Letter', 'I-797', 'Passport', 'DS-160', 'Fee Receipt', 'Photo', 'Tax Returns']",7,employer,False,approved
case_002651,Taiwan,L-1,Beijing,2024-11-07,2025-02-14,99,"['Employment Letter', 'I-797', 'Passport', 'Bank Statement', 'DS-160', 'Fee Receipt', 'Photo']",7,employer,False,approved
case_004198,Taiwan,L-1,London,2024-11-07,2025-01-21,75,"['I-797', 'Passport', 'DS-160', 'Fee Receipt', 'Photo', 'Tax Returns']",6,self,True,approved
case_000440,India,F-1,Frankfurt,2024-11-07,2024-12-17,40,"['Financial Docs', 'I-20', 'Passport', 'Bank Statement', 'DS-160', 'Fee Receipt', 'Photo']",7,employer,True,approved
case_004929,Philippines,H-1B,Mumbai,2024-11-08,2025-01-26,79,"['Employment Letter', 'I-797', 'Resume', 'Property Docs', 'Passport', 'DS-160', 'Fee Receipt', 'Photo']",8,university,False,approved
case_000514,Taiwan,H-1B,Beijing,2024-11-08,2025-02-28,112,"['Employment Letter', 'I-797', 'Passport', 'DS-160', 'Fee Receipt', 'Photo']",6,employer,False,approved
case_003654,United Kingdom,H-1B,Ciudad Juarez,2024-11-08,2025-02-06,90,"['Employment Letter', 'I-797', 'Resume', 'Property Docs', 'Passport', 'Bank Statement', 'DS-160', 'Fee Receipt', 'Photo']",9,university,False,approved
case_003129,Canada,H-1B,Shanghai,2024-11-08,2025-02-12,96,"['Employment Letter', 'I-797', 'Resume', 'Passport', 'DS-160', 'Fee Receipt', 'Photo']",7,family,False,approved
case_004576,Bangladesh,H-1B,Guadalajara,2024-11-08,2024-12-31,53,"['Travel Itinerary', 'Employment Letter', 'I-797', 'Resume', 'Property Docs', 'Passport', 'DS-160', 'Fee Receipt', 'Photo']",9,employer,False,approved
case_003528,Germany,L-1,Guadalajara,2024-11-08,2025-01-11,64,"['Employment Letter', 'I-797', 'Passport', 'DS-160', 'Fee Receipt', 'Photo']",6,employer,False,approved
case_004434,United Kingdom,F-1,Shanghai,2024-11-08,2024-12-16,38,"['Travel Itinerary', 'Financial Docs', 'I-20', 'Transcripts', 'Passport', 'DS-160', 'Fee Receipt', 'Photo', 'Tax Returns']",9,university,True,approved
case_002110,Taiwan,F-1,Seoul,2024-11-08,2024-12-11,33,"['Travel Itinerary', 'Financial Docs', 'I-20', 'Transcripts', 'Passport', 'DS-160', 'Fee Receipt', 'Photo', 'Tax Returns']",9,self,True,approved
case_003988,Philippines,B1/B2,Toronto,2024-11-08,2024-11-27,19,"['Property Docs', 'Passport', 'Invitation Letter', 'DS-160', 'Fee Receipt', 'Photo']",6,university,False,approved
case_004627,Nigeria,H-1B,Shenyang,2024-11-08,2025-03-18,130,"['Employment Letter', 'I-797', 'Resume', 'Passport', 'DS-160', 'Fee Receipt', 'Photo']",7,employer,False,approved
case_000441,Vietnam,H-1B,Guadalajara,2024-11-08,2025-02-28,112,"['Employment Letter', 'I-797', 'Resume', 'Passport', 'DS-160', 'Fee Receipt', 'Photo']",7,university,False,approved
case_000343,Brazil,H-1B,Mumbai,2024-11-09,2025-02-09,92,"['Employment Letter', 'I-797', 'Resume', 'Passport', 'DS-160', 'Fee Receipt', 'Photo']",7,government,False,denied
case_000383,Nigeria,B1/B2,Shanghai,2024-11-09,2024-12-06,27,"['Travel Itinerary', 'Passport', 'Invitation Letter', 'DS-160', 'Fee Receipt', 'Photo']",6,employer,False,approved
case_000489,Bangladesh,O-1,New Delhi,2024-11-09,2024-12-10,31,"['I-797', 'Passport', 'DS-160', 'Fee Receipt', 'Photo', 'Tax Returns']",6,family,False,approved
case_001238,China,L-1,Chennai,2024-11-09,2024-12-24,45,"['Travel Itinerary', 'Employment Letter', 'I-797', 'Passport', 'DS-160', 'Fee Receipt', 'Photo']",7,government,False,approved
case_001224,Philippines,F-1,Mumbai,2024-11-09,2024-12-05,26,"['Travel Itinerary', 'Financial Docs', 'I-20', 'Passport', 'DS-160', 'Fee Receipt', 'Photo']",7,employer,False,approved
case_002217,Germany,F-1,Guadalajara,2024-11-09,2024-12-12,33,"['Financial Docs', 'I-20', 'Passport', 'DS-160', 'Fee Receipt', 'Photo']",6,self,True,approved
